city,cloud,country,date,humidity,lat,lng,maxtemp,windspeed
Hobart,75,AU,1584148305,47,-42.88,147.33,57.0,12.75
Waingapu,50,ID,1584148856,76,-9.66,120.26,81.88,4.63
Beruwala,6,LK,1584148617,87,6.48,79.98,76.66,3.13
Khuzhir,91,RU,1584148856,88,53.19,107.34,25.72,11.5
Atuona,61,PF,1584148304,63,-9.8,-139.03,82.38,8.05
Rikitea,34,PF,1584148037,77,-23.12,-134.97,76.84,13.85
Albany,20,US,1584148305,52,42.6,-73.97,45.0,12.75
Gainesville,1,US,1584148715,60,29.65,-82.32,73.99,5.82
Aksarka,52,RU,1584148635,96,66.56,67.8,28.44,13.89
Bengkulu,79,ID,1584148571,85,-3.8,102.27,75.52,3.44
Mangai,56,CD,1584148857,97,-4.05,19.53,69.84,1.43
La Ronge,20,CA,1584148305,46,55.1,-105.28,6.8,9.17
Port Elizabeth,90,ZA,1584148505,100,-33.92,25.57,64.4,12.75
Ust-Nera,100,RU,1584148608,88,64.57,143.2,-17.03,5.95
Khorinsk,59,RU,1584148857,92,52.17,109.77,20.95,8.39
Fort Collins,90,US,1584148857,58,40.59,-105.08,35.01,20.8
Chiang Khong,5,TH,1584148857,88,20.26,100.4,68.0,1.5
Longyearbyen,40,SJ,1584148858,63,78.22,15.64,-5.8,19.46
Cape Town,75,ZA,1584148019,93,-33.93,18.42,63.0,4.7
Bowen,40,AU,1584148858,54,-20.02,148.23,82.99,14.99
Bonfim,82,BR,1584148858,53,3.08,-59.95,86.4,0.2
Garoowe,60,SO,1584148636,88,8.41,48.48,69.21,9.22
Hervey Bay,40,AU,1584148858,61,-25.3,152.85,80.6,16.11
Buala,41,SB,1584148858,77,-8.14,159.59,83.8,13.89
Dikson,100,RU,1584148617,96,73.51,80.55,30.42,21.65
Mayo,1,US,1584148859,27,38.89,-76.51,63.0,12.75
Rio Grande,2,BR,1584148837,87,-32.03,-52.1,73.99,16.46
Ushuaia,91,AR,1584148053,87,-54.8,-68.3,48.2,6.93
Puerto Ayora,89,EC,1584148308,69,-0.74,-90.35,82.4,10.29
Punta Arenas,60,CL,1584148703,61,-53.15,-70.92,50.0,12.75
Vardø,72,NO,1584148641,82,70.37,31.11,24.44,24.63
Nanortalik,100,GL,1584148860,70,60.14,-45.24,22.98,14.16
Mataura,1,NZ,1584148041,60,-46.19,168.86,64.99,5.01
Pacific Grove,75,US,1584148560,71,36.62,-121.92,57.99,20.8
Vaini,75,TO,1584148565,88,-21.2,-175.2,80.6,14.99
Karratha,38,AU,1584148860,74,-20.74,116.85,81.75,7.07
Bredasdorp,0,ZA,1584148860,82,-34.53,20.04,59.0,4.7
Yellowknife,5,CA,1584148804,53,62.46,-114.35,-5.8,3.36
San Quintín,0,MX,1584148620,70,30.48,-115.95,62.08,10.07
Ukiah,59,US,1584148861,66,39.15,-123.21,57.0,5.99
Tabas,82,IR,1584148861,15,33.6,56.92,60.8,4.7
Lavrentiya,100,RU,1584148627,90,65.58,-171.0,30.58,25.43
Jalu,0,LY,1584148633,80,29.03,21.55,56.1,10.09
Cidreira,0,BR,1584148309,90,-30.18,-50.21,76.08,11.65
Brezová pod Bradlom,0,SK,1584148861,69,48.66,17.54,42.8,2.24
